PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),MLS#,LATITUDE,LONGITUDE
Single Family Residential,19302 34TH Dr SE,Bothell,98012,499000,3,1.75,Bothell,1920,10454,1972,1,260,,http://www.redfin.com/WA/Bothell/19302-34th-Dr-SE-98012/home/2677799,1559590,47.8224243,-122.1872618
Townhouse,3605 192nd St SE #4,Bothell,98012,589995,3,2.5,North Creek,1519,2631,2020,1,388,190,http://www.redfin.com/WA/Bothell/3605-192nd-St-SE-98012/unit-4/home/170483416,1560613,47.8231724,-122.1846291
Single Family Residential,22129 44th (Homesite North 43) Dr SE,Bothell,98021,847900,5,2.75,Canyon Park,2631,3360,2020,1,322,,http://www.redfin.com/WA/Bothell/22129-43rd-Dr-SE-98021/home/170481426,1560555,47.796378,-122.173352
Single Family Residential,22121 44th (Homesite North 41) Dr SE,Bothell,98021,938850,5,4,Canyon Park,3260,4365,2020,1,288,,http://www.redfin.com/WA/Bothell/22121-41st-Dr-SE-98021/home/170481326,1560546,47.796619,-122.173373
Single Family Residential,22125 44th (Homesite North 42) Dr SE,Bothell,98021,826800,4,2.75,Canyon Park,2425,3178,2020,1,341,,http://www.redfin.com/WA/Bothell/22125-42nd-Dr-SE-98021/home/170481307,1560552,47.796619,-122.174124
Single Family Residential,34 232nd  (Lot 15) Pl S,Bothell,98021,1224995,4,3,Bothell,3145,7362,2019,1,390,107,http://www.redfin.com/WA/Bothell/34-232nd-Pl-SW-98021/home/170474679,1558063,47.7871726,-122.2338017
Single Family Residential,3626 184th Pl SE,Bothell,98012,950000,5,3.25,Bothell,3662,6970,2008,1,259,63,http://www.redfin.com/WA/Bothell/3626-184th-Pl-SE-98012/home/21500941,1554786,47.8300037,-122.1837664
Single Family Residential,20411 4th Dr SE,Bothell,98012,988000,5,2.75,Canyon Park,3003,6098,2019,1,329,,http://www.redfin.com/WA/Bothell/20411-4th-Dr-SE-98012/home/167240403,1559356,47.81231808,-122.2245817
Single Family Residential,107 180th Pl SW Unit CT 11,Bothell,98012,689950,4,3.25,Mill Creek,2581,3238,2020,1,267,50,http://www.redfin.com/WA/Martha-Lake/107-180th-Pl-SW-98012/unit-CT-11/home/170470708,1558773,47.834331,-122.236772
Single Family Residential,20021 107th Ave NE,Bothell,98011,929000,4,2.5,Bothell,2820,9300,1972,1,329,,http://www.redfin.com/WA/Bothell/20021-107th-Ave-NE-98011/home/285818,1560175,47.7734968,-122.1986124
Townhouse,14915 38th Dr SE #1165,Bothell,98012,389000,2,2.25,Mill Creek,1407,399159,2007,2,276,357,http://www.redfin.com/WA/Bothell/14915-38th-Dr-SE-98012/unit-1165/home/22961508,1558514,47.8625823,-122.1801939
Single Family Residential,15114 111th Ave NE,Bothell,98011,639000,3,1.75,Juanita,1290,8400,1976,2,495,,http://www.redfin.com/WA/Bothell/15114-111th-Ave-NE-98011/home/457404,1560130,47.7376966,-122.1921375
Mobile/Manufactured Home,21620 8th Pl W,Bothell,98021,385000,3,2,Bothell,1404,7841,1987,2,274,,http://www.redfin.com/WA/Bothell/21620-8th-Pl-W-98021/home/2756341,1559103,47.8018996,-122.2449147
Single Family Residential,30 194th St SW,Bothell,98012,565000,4,2.25,Bothell,1659,3028,2011,2,341,58,http://www.redfin.com/WA/Bothell/30-194th-St-SW-98012/unit-34/home/28656893,1560092,47.8223227,-122.2341507
